ID,OBJECTID,ISO,P_Code,M_Code,Municipality,Area (km2),Avg. Elevation (m),Perimeter (m),Coastline length (m),C/P Ratio,Distance to coastline (m. mean),Distance to coastline (m. stdev),Ruggedness index (mean),Ruggedness index (stdev),Slope (mean),Slope (stdev),Landuse (Most common),Population 2010 census,Population 2013 est.,Population 2015 census,Pop. Density 2015 per km2,Poverty (%),Avg. Windspeed (km/h),Distance from typhoon path (km),Area Flooded (%),Rainfallme,Surge Height int. (m),Surge risk class (REACH),People affected,People affected (% 2010),Houses damaged,rain_oct18-20,rain oct11-18
,38,PHL,PH010000000,PH012915000,QUIRINO (ANGKAKI),182.539,,,,,,,,,,,,,,8573,46.96530604,8.35180217,70.43731439,112.4327303,,693.6,,,,,,559.3,134.3
,39,PHL,PH010000000,PH012916000,SALCEDO (BAUGEN),83.039,,,,,,,,,,,,,,11288,135.9361264,6.732813607,70,119.6184522,,659.4,,,,,,535.75,123.65
,40,PHL,PH010000000,PH012917000,SAN EMILIO,151.569,,,,,,,,,,,,,,7407,48.86883202,7.519913595,77.57067256,104.898154,,689.5129622,,,,,,552.61567,136.8972921
,41,PHL,PH010000000,PH012918000,SAN ESTEBAN,17.431,,,,,,,,,,,,,,8349,478.9742413,2.922505689,80,102.8416536,,485.1,,,,,,368.1,117
,42,PHL,PH010000000,PH012919000,SAN ILDEFONSO,11.755,,,,,,,,,,,,,,7787,662.4415142,2.208809554,80,74.93788566,,501.3018046,,,,,,371.4613833,129.8404213
,43,PHL,PH010000000,PH012920000,SAN JUAN (LAPOG),68.541,,,,,,,,,,,,,,26411,385.3314075,3.676498429,81.67260372,60.29335508,,513.9545566,,,,,,338.1507404,175.8038163
,44,PHL,PH010000000,PH012921000,SAN VICENTE,13.228,,,,,,,,,,,,,,12758,964.4693075,2.617965198,80,77.29192003,,499.7929193,,,,,,398.4417965,101.3511228
,45,PHL,PH010000000,PH012922000,SANTA,59.296,,,,,,,,,,,,,,15340,258.7021047,2.509778357,80,83.60726977,,477.0510943,,,,,,363.3180805,113.7330138
,46,PHL,PH010000000,PH012923000,SANTA CATALINA,8.958,,,,,,,,,,,,,,13945,1556.709087,2.237361061,80,80.38391372,,472.8055691,,,,,,381.8341964,90.97137273
,47,PHL,PH010000000,PH012924000,SANTA CRUZ,92.045,,,,,,,,,,,,,,39868,433.1359661,3.880305007,69.89249078,128.8608116,,660.0434552,,,,,,534.6401598,125.4032954
,48,PHL,PH010000000,PH012925000,SANTA LUCIA,44.264,,,,,,,,,,,,,,25402,573.8749322,5.062593497,70,122.3065383,,667.2535245,,,,,,539.4344851,127.8190394
,49,PHL,PH010000000,PH012926000,SANTA MARIA,56.541,,,,,,,,,,,,,,30321,536.2657187,2.720886514,80,96.65643619,,631.1933047,,,,,,503.5045986,127.688706
,50,PHL,PH010000000,PH012927000,SANTIAGO,47.803,,,,,,,,,,,,,,18759,392.4230697,4.296604297,78.5981702,108.2273767,,601.7934299,,,,,,494.1013253,107.6921046
,51,PHL,PH010000000,PH012928000,SANTO DOMINGO,48.619,,,,,,,,,,,,,,27975,575.3923363,3.020554066,80.10739979,71.74999086,,499.9510588,,,,,,366.1751314,133.7759274
